IDEmpresa;Nombre Comercial;Web;Dirección;C.P.;Localidad;Provincia;HEART OF SPAIN
107;BODEGA CUATRO RAYAS;www.cuatrorayas.es;CARRETERA RODILANA S/N;47491;SECA (LA);VALLADOLID;
418;BODEGAS MONTE LA REINA;www.montelareina.es;CARRETERA TORO-ZAMORA KM. 436,7;49881;TORO;ZAMORA;
948;COMERCIAL AGRICOLA RIOJANA;www.carsa.net;AVENIDA PORTUGAL 27;47100;TORDESILLAS;VALLADOLID;
964;GRUPO COPESE;www.eresma.es y www.grupocopese.com;POL. INDUSTRIAL LA SALINA C/ EDUARDO CAPA 1;40480;COCA;SEGOVIA;
1115;DESPIECES Y MANIPULADOS MAVIMAR;www.delicatessenmavimar.com;AVENIDA NUESTRA SEÑORA DEL PRADO S/N;34429;SAN CEBRIAN DE CAMPOS;PALENCIA;
1290;EMBUTIDOS BALLESTEROS;www.embutidosballesteros.es;CARRETERA NACIONAL 122 KM. 424 S/N;49800;TORO;ZAMORA;
1578;MIEL LA PICOREA;www.miellapicorea.es;CALLE LANCHAR S/N;05620;CARRERA (LA);AVILA;
1679;HERMANOS OBLANCA;www.oblanca.es;POL. INDUSTRIAL ONZONILLA C/ 3 PARC. G9;24231;ONZONILLA;LEON;
1795;HORTAFERCAR;"www.hortafercar.es;   www.hortafercar.wordpress.com";POL. INDUSTRIAL 304 CMNO. DE CUELLAR S/N PARC. 5063;40241;CHATUN;SEGOVIA;
2200;LA ARTESA SELECCION;www.laartesaseleccion.com;CARRETERA DE VILECHA, EDIFICIO MILAN, NAVE 11;24009;LEON;LEON;
2395;MUÑOZ GONZALEZ, JOSE ANTONIO;;CAMINO DE MUDRIAN S/N;40240;GOMEZSERRACIN;SEGOVIA;
2599;PASTEL SORIA;www.pastelsoria.com;POL. INDUSTRIAL LAS CASAS TRAVESIA E PARC. 116;42005;SORIA;SORIA;
2761;LEGUMBRES PARAMO LEONES;www.selectoscampomar.com;CALLE MUELAS 16;24224;CABREROS DEL RIO;LEON;
2962;QUESOS CAMPOS GOTICOS;www.camposgoticos.com;CALLE DISEMINADOS 16 24;34305;VILLERIAS DE CAMPOS;PALENCIA;
3072;SEÑORIO DE BOCOS;www.senoriodebocos.com;CAMINO LA CANALEJA S/N;47317;BOCOS DE DUERO;VALLADOLID;
15136;PATATAS FRITAS DE SORIA GARIJO BAIGORRI;www.patatasfritasdesoria.com;POL. INDUSTRIAL LAS CASAS C/D PARC. 18A;42005;SORIA;SORIA;
32562;BODEGA SOLTERRA;www.cvsolterra.com;CARRETERA ROA PEDROSA KM. 1,2;09300;ROA;BURGOS;
33185;JAMONES Y EMBUTIDOS HERMANOS MARTIN SANCHEZ;www.hermanosmartinsanchez.com;CALLE SIERRA DE BEJAR PARC. 36 POLIG. AGROALIMENTARIO DE GUIJUELO;37700;GUIJUELO;SALAMANCA;
33420;QUESERIA LOS PAYUELOS;www.queserialospayuelos.es;CALLE ALBERQUES 4;24920;SAELICES DEL PAYUELO;LEON;
33941;CERVEZAS VIRTUS;www.cervezasvirtus.es;CALLE MERINDAD DE MONTIJA NAVE 16. POLIGONO DE VILLALONQUEJAR;09001;BURGOS;BURGOS;
35695;BODEGA JAVIER RUIZ;www.bodegasjavierruiz.com;PLAZA CONSTITUCION 3;47239;VILLANUEVA DE DUERO;VALLADOLID;
36316;BODEGA SEVERINO SANZ;www.bodegaseverinosanz.es;CALLE DEL RIO S/N;40542;MONTEJO DE LA VEGA DE LA SERREZUELA;SEGOVIA;
38715;PISTACYL;www.pistacyl.com;CALLE LAGARTILLOS 2;47450;POZAL DE GALLINAS;VALLADOLID;
38895;BODEGAS ARIABAL;www.bodegaspandora.com;CARRETERA RUEDA-NAVA DEL REY KM. 1;47490;RUEDA;VALLADOLID;
39775;DEHESA CASABLANCA;https://dehesacasablanca.com/;CALLE LAGUNA NEGRA (POLIGONO INDUSTRIAL MONTALVO II) 25 PARC 107;37008;POLIGONO EL MONTALVO (MONTALVO (EL));SALAMANCA;
