PASEM2020_General_F_2ord;PASEM2020_General_M_2ord;PASEM2020_Rel_F_1ord;PASEM2020_Rel_M_1ord;PASEM2020_Decesos_F_2ord;PASEM2020_Decesos_M_2ord;PASEM2020_Decesos_F_1ord;PASEM2020_Decesos_M_1ord
1,591520911;1,818519104;1,753657104;2,003780737;2,546433458;2,909630566;2,805851366;3,20604918
0,1135168;0,130900807;0,125081324;0,144236327;0,18162688;0,209441291;0,200130118;0,230778122
0,093457281;0,109292779;0,102978241;0,120426981;0,149531649;0,174868446;0,164765186;0,192683169
0,075466282;0,08987687;0,083154409;0,099033076;0,120746051;0,143802992;0,133047055;0,158452921
0,060767883;0,073905719;0,066958611;0,081434864;0,097228612;0,11824915;0,107133777;0,130295782
0,050375499;0,062631965;0,055507503;0,069012596;0,080600798;0,100211144;0,088812004;0,110420154
0,043745697;0,05554685;0,04820229;0,061205686;0,069993115;0,08887496;0,077123664;0,097929097
0,04020731;0,052022666;0,04430343;0,057322475;0,064331696;0,083236266;0,070885487;0,09171596
0,038261124;0,050344088;0,042158976;0,055472892;0,061217798;0,080550541;0,067454361;0,088756628
0,03772114;0,050501657;0,041563981;0,055646513;0,060353824;0,080802651;0,06650237;0,089034421
0,039260913;0,053742417;0,043260619;0,059217425;0,062817461;0,085987866;0,06921699;0,09474788
0,042929011;0,060668682;0,047302404;0,066849304;0,068686418;0,097069891;0,075683847;0,106958886
0,049658684;0,073452525;0,054717663;0,080935501;0,079453895;0,11752404;0,08754826;0,129496801
0,058980478;0,092678631;0,064989114;0,102120267;0,094368765;0,14828581;0,103982582;0,163392427
0,070367894;0,118969633;0,077536623;0,131089664;0,11258863;0,190351412;0,124058596;0,209743463
0,082956318;0,152068255;0,091407493;0,167560208;0,132730109;0,243309207;0,146251989;0,268096333
0,094849609;0,18865007;0,104512413;0,207868796;0,151759375;0,301840112;0,167219861;0,332590074
0,104851425;0,224813534;0,115533164;0,247716413;0,16776228;0,359701654;0,184853062;0,39634626
0,098390661;0,224777318;0,10841421;0,247676508;0,157425058;0,359643709;0,173462736;0,396282412
0,095554054;0,229367737;0,105288623;0,252734575;0,152886487;0,366988379;0,168461797;0,40437532
0,09444412;0,235023173;0,104065615;0,258966159;0,151110593;0,376037077;0,166504984;0,414345854
0,094472611;0,241050622;0,104097008;0,265607654;0,151156177;0,385680995;0,166555213;0,424972246
0,095573121;0,248060813;0,105309633;0,273332008;0,152916994;0,3968973;0,168495412;0,437331213
0,096879479;0,254446913;0,106749076;0,280368692;0,155007167;0,407115061;0,170798522;0,448589908
0,098258727;0,260226894;0,108268835;0,286737509;0,157213963;0,41636303;0,173230136;0,458780014
0,099361402;0,264516934;0,109483844;0,291464597;0,158978243;0,423227095;0,175174151;0,466343355
0,099695659;0,265713388;0,109852154;0,29278294;0,159513054;0,425141421;0,175763446;0,468452704
0,099533245;0,264002593;0,109673195;0,290897857;0,159253193;0,422404148;0,175477112;0,465436571
0,099142616;0,259600713;0,10924277;0,286047536;0,158628185;0,415361141;0,174788432;0,457676057
0,098843501;0,253100767;0,108913183;0,278885407;0,158149602;0,404961227;0,174261093;0,446216651
0,099878884;0,247684605;0,110054046;0,272917474;0,159806215;0,396295368;0,176086473;0,436667959
0,10249692;0,243959337;0,112938794;0,268812694;0,163995072;0,390334939;0,18070207;0,43010031
0,1075288;0,243886539;0,118483296;0,26873248;0,17204608;0,390218462;0,189573274;0,429971968
0,116100799;0,249776552;0,127928567;0,275222538;0,185761278;0,399642483;0,204685708;0,440356061
0,129399846;0,263608207;0,142582455;0,290463293;0,207039754;0,421773131;0,228131928;0,464741269
0,147959733;0,285765582;0,163033131;0,31487795;0,236735573;0,457224931;0,26085301;0,50380472
0,170342136;0,31313078;0,187695742;0,345030978;0,272547418;0,501009248;0,300313186;0,552049565
0,195352906;0,343885782;0,215254483;0,378919146;0,31256465;0,550217251;0,344407173;0,606270634
0,221468433;0,376231899;0,24403053;0,414560523;0,354349493;0,601971038;0,390448848;0,663296837
0,248030535;0,410251834;0,273298646;0,452046239;0,396848856;0,656402934;0,437277833;0,723273983
0,275655878;0,448206249;0,303738321;0,49386726;0,441049405;0,717129998;0,485981314;0,790187617
0,304927557;0,492235962;0,335992052;0,5423825;0,487884092;0,787577539;0,537587284;0,867812001
0,352311713;0,570104673;0,388203469;0,628184087;0,563698741;0,912167477;0,62112555;1,005094539
0,409349291;0,669697621;0,45105175;0,737923066;0,654958865;1,071516194;0,721682799;1,180676906
0,474553181;0,790167547;0,522898286;0,870665865;0,759285089;1,264268075;0,836637257;1,393065385
0,546631845;0,93029647;0,602319964;1,025070422;0,874610952;1,488474351;0,963711943;1,640112676
0,62702777;1,092495954;0,690906224;1,20379398;1,003244432;1,747993527;1,105449959;1,926070367
0,719376329;1,282379941;0,792662792;1,413022398;1,151002126;2,051807906;1,268260467;2,260835836
0,822018392;1,495819776;0,905761516;1,648206416;1,315229428;2,393311642;1,449218426;2,637130266
0,937519742;1,736233706;1,033029566;1,913112515;1,500031587;2,77797393;1,652847305;3,060980024
1,064329276;2,000485247;1,172757821;2,204284682;1,702926842;3,200776395;1,876412514;3,526855491
1,163439246;2,21560423;1,281964619;2,441318911;1,861502794;3,544966768;2,051143391;3,906110258
1,267136284;2,444325677;1,396225793;2,693341356;2,027418054;3,910921084;2,233961269;4,309346169
1,373207109;2,686367964;1,513102583;2,960041701;2,197131374;4,298188743;2,420964133;4,736066721
1,480064666;2,942696368;1,630846253;3,24248356;2,368103465;4,708314189;2,609354005;5,187973697
1,587334032;3,215162704;1,749043687;3,542707404;2,539734452;5,144260326;2,798469899;5,668331847
1,696054377;3,506324703;1,868839917;3,863531533;2,713687003;5,610119525;2,990143867;6,181650452
1,80825769;3,818396304;1,992473943;4,207395427;2,893212305;6,109434086;3,187958308;6,731832683
1,926754704;4,15300003;2,123042839;4,576086909;3,082807526;6,644800049;3,396868542;7,321739054
2,054948023;4,511236024;2,264295853;4,970818194;3,287916837;7,217977638;3,622873364;7,95330911
2,196406186;4,893609839;2,420165066;5,392146342;3,514249898;7,829775743;3,872264106;8,627434147
2,354748459;5,300873549;2,594638459;5,840900042;3,767597535;8,481397679;4,151421534;9,345440067
2,533594258;5,735560025;2,791704173;6,319870203;4,053750813;9,176896041;4,466726677;10,11179232
2,736038025;6,201786715;3,014771899;6,833593736;4,37766084;9,922858743;4,823635038;10,93374998
2,964867728;6,705524888;3,266913627;7,388650236;4,743788364;10,72883982;5,227061804;11,82184038
3,222722078;7,254398266;3,551036889;7,99344009;5,156355324;11,60703723;5,681659023;12,78950414
3,51278333;7,857290793;3,870648132;8,657752292;5,620453328;12,57166527;6,193037011;13,85240367
3,84021815;8,524972353;4,231440374;9,393453911;6,144349041;13,63995576;6,770304599;15,02952626
4,212896946;9,269807846;4,642085822;10,21416952;6,740635113;14,83169255;7,427337315;16,34267123
4,641976086;10,10535818;5,114877399;11,13484155;7,427161737;16,16857309;8,183803839;17,81574647
5,142223521;11,04748939;5,666087542;12,17295237;8,227557634;17,67598302;9,065740068;19,4767238
5,73157981;12,11449393;6,315484503;13,348658;9,170527695;19,38319029;10,1047752;21,3578528
6,429452556;13,32726368;7,084453035;14,68497867;10,28712409;21,32362189;11,33512486;23,49596587
7,253512364;14,70749942;7,992463936;16,20582592;11,60561978;23,53199907;12,7879423;25,92932147
8,217171861;16,27781053;9,054296244;17,93611248;13,14747498;26,04449685;14,48687399;28,69777997
9,331081649;18,06126143;10,28168559;19,90125243;14,92973064;28,89801828;16,45069695;31,84200389
10,60973125;20,08264029;11,69059762;22,12855927;16,97557;32,13222446;18,70495619;35,40569483
12,08030698;22,37022239;13,31098826;24,64918879;19,32849117;35,79235582;21,29758121;39,43870207
13,78594191;24,95466456;15,19038474;27,49692101;22,05750706;39,92746329;24,30461559;43,99507361
15,78560035;27,87011199;17,39375839;30,70937964;25,25696056;44,59217918;27,83001342;49,13500743
18,14864592;31,15354932;19,99753922;34,32731716;29,03783347;49,84567891;31,99606275;54,92370745
20,96614948;34,87621152;23,10207596;38,42922557;33,54583917;55,80193843;36,96332154;61,48676091
24,31616187;39,09075778;26,79337086;43,07312873;38,90585898;62,54521245;42,86939337;68,91700597
28,2729103;43,85338185;31,15321304;48,32094513;45,23665648;70,16541096;49,84514086;77,31351221
32,90549345;49,22424827;36,2577406;54,23896856;52,64878952;78,75879723;58,01238495;86,7823497
38,27720997;55,2641515;42,17670074;60,89418694;61,24353596;88,4226424;67,48272118;97,4306991
44,44529019;62,03124838;48,97315413;68,35068181;71,11246431;99,24999741;78,35704661;109,3610909
51,46337954;69,58047;56,70621133;76,66898038;82,34140726;111,328752;90,72993812;122,6703686
59,38157678;77,95810481;65,43107492;85,90008674;95,01052286;124,7329677;104,6897199;137,4401388
68,24415827;87,19427442;75,1965319;96,07719113;109,1906532;139,5108391;120,314451;153,7235058
78,09235626;97,30191732;86,04801505;107,2145502;124,94777;155,6830677;137,6768241;171,5432802
88,96546487;108,2738711;98,0288216;119,3042717;142,3447438;173,2381938;156,8461146;190,8868348
100,9101929;120,0957051;111,1904188;132,3304551;161,4563087;192,1531282;177,9046701;211,7287282
113,9790527;132,7520152;125,5906686;146,2761267;182,3664842;212,4032243;200,9450698;234,0418028
128,2225138;146,2430367;141,2851824;161,141546;205,1560221;233,9888586;226,0562918;257,8264736
143,6705469;160,5926376;158,3069838;176,9530125;229,872875;256,9482201;253,2911741;283,12482
160,2932563;175,8244234;176,6231318;193,7365366;256,4692101;281,3190775;282,5970109;309,9784585
177,9892402;191,9485109;196,1218941;211,5032654;284,7827843;307,1176174;313,7950305;338,4052247
196,5953867;208,9543474;216,6235418;230,2415715;314,5526188;334,3269558;346,5976668;368,3865145
215,9209037;226,8096621;237,9178458;249,9158964;345,473446;362,8954593;380,6685533;399,8654342
235,8009592;245,4643383;259,8231819;270,4710178;392,9320928;408,0673897;432,9620497;449,639255
249,0730851;257,5370751;274,4474056;283,7736647;446,91832;459,6639846;492,4481239;506,492253
288,6285902;296,8871768;318,0326278;327,132558;509,1275727;519,6054967;560,9949442;572,5403067
347,2506413;355,6376766;382,6268003;391,8682649;577,7148164;586,0880957;636,5695133;645,7958204
