Siniestro;Poliza;Fec_ocu;Fec_com;Fec_pago;Importe
1;31082;12-09-2021;21-09-2021;03-07-2022;83
2;61275;20-11-2022;03-01-2023;02-02-2023;71
3;72257;10-06-2018;25-06-2018;15-07-2018;115
4;73111;17-09-2018;05-10-2018;20-09-2023;67
5;84755;30-06-2022;12-07-2022;30-09-2022;122
6;85960;28-10-2020;12-11-2020;27-12-2020;79
7;24997;23-08-2021;04-09-2021;18-08-2022;83
8;22885;16-11-2021;01-12-2021;10-01-2022;99
9;49913;29-10-2018;08-11-2018;18-11-2018;113
10;94905;27-05-2023;11-06-2023;11-07-2023;78
11;40258;10-04-2018;29-04-2018;19-05-2018;92
12;95436;21-09-2018;08-10-2018;18-02-2022;74
13;46337;04-10-2019;24-10-2019;03-12-2019;108
14;75077;14-09-2023;26-09-2023;06-10-2023;75
15;85430;17-07-2019;03-08-2019;02-09-2019;125
16;56516;29-11-2021;08-01-2022;17-02-2022;95
17;10557;12-03-2023;15-03-2023;23-11-2023;91
18;55271;16-03-2022;23-03-2022;02-05-2022;91
19;44608;21-08-2019;09-09-2019;19-09-2019;109
20;48053;14-05-2021;03-06-2021;03-07-2021;100
21;44809;08-01-2018;17-01-2018;26-02-2018;109
22;44889;14-11-2018;01-12-2018;10-01-2019;107
23;62753;03-08-2018;20-08-2018;23-10-2019;112
24;87070;29-07-2019;10-08-2019;15-08-2023;61
25;89225;29-09-2023;08-10-2023;31-10-2023;110
26;85249;07-01-2021;26-01-2021;15-02-2021;101
27;22264;10-07-2021;30-07-2021;24-01-2023;83
28;21649;29-09-2018;12-10-2018;01-11-2018;123
29;17553;18-06-2018;08-07-2018;07-08-2018;125
30;15105;03-05-2021;14-05-2021;24-05-2021;124
31;31656;05-03-2020;20-03-2020;09-04-2020;107
32;18296;22-12-2021;29-01-2022;17-12-2023;83
33;36586;18-06-2020;25-06-2020;18-03-2023;55
34;63869;19-03-2022;05-04-2022;15-04-2022;96
35;34926;28-08-2020;11-09-2020;11-10-2020;109
36;65339;16-04-2022;26-04-2022;05-06-2022;97
37;70298;03-07-2018;17-07-2018;28-10-2019;105
38;87429;17-06-2022;02-08-2022;12-08-2022;97
39;99891;28-01-2019;11-03-2019;10-04-2019;107
40;25413;25-07-2020;11-08-2020;10-09-2020;126
41;56696;08-09-2019;20-09-2019;20-02-2020;88
42;13609;14-11-2018;30-12-2018;09-01-2019;102
43;86671;07-10-2023;27-10-2023;28-10-2023;108
44;85097;15-03-2019;02-04-2019;12-05-2019;91
45;84499;03-08-2020;12-08-2020;08-07-2021;104
46;33353;12-03-2020;31-03-2020;23-08-2023;70
47;31361;10-12-2019;23-12-2019;01-02-2020;95
48;17324;26-07-2020;10-08-2020;07-03-2021;91
49;82864;21-07-2023;03-08-2023;13-08-2023;82
50;29098;27-04-2021;06-05-2021;15-06-2021;124
51;72091;14-02-2020;06-03-2020;07-09-2021;84
52;33619;29-05-2020;13-06-2020;03-07-2020;115
53;55209;06-03-2019;18-03-2019;17-04-2019;112
54;45699;18-05-2019;21-05-2019;03-11-2022;81
55;66191;07-09-2018;20-09-2018;30-09-2018;143
56;50706;06-03-2021;14-03-2021;03-10-2021;90
57;57285;15-06-2019;28-07-2019;04-11-2023;78
58;33313;27-11-2018;17-12-2018;25-10-2021;93
59;62122;07-10-2021;23-11-2021;23-12-2021;100
60;21689;12-11-2019;19-12-2019;16-06-2020;104
61;43324;02-04-2018;15-04-2018;25-04-2018;129
62;42283;18-11-2018;04-01-2019;13-02-2019;96
63;64421;06-05-2020;12-06-2020;01-04-2022;78
64;37394;03-05-2020;12-05-2020;11-06-2020;110
65;35357;04-09-2022;21-09-2022;31-10-2022;112
66;17980;12-09-2021;26-10-2021;05-12-2021;138
67;18536;06-09-2020;16-09-2020;16-10-2020;92
68;70458;18-07-2021;28-07-2021;25-01-2022;97
69;69041;10-11-2022;17-12-2022;18-03-2023;64
70;84950;14-10-2018;01-11-2018;05-10-2022;74
71;25045;12-09-2021;21-10-2021;02-11-2021;107
72;39719;03-12-2020;18-12-2020;22-11-2022;76
73;73025;01-08-2019;11-08-2019;20-10-2019;76
74;32513;10-09-2021;16-09-2021;26-09-2021;92
75;44403;28-06-2019;14-07-2019;24-07-2019;97
76;79532;14-03-2021;30-03-2021;09-05-2021;124
77;44560;10-12-2021;27-12-2021;22-05-2022;96
78;76390;08-10-2023;25-10-2023;24-11-2023;97
79;23419;24-12-2018;10-01-2019;30-01-2019;98
80;95396;05-05-2022;23-05-2022;18-07-2023;71
81;51090;14-09-2019;01-10-2019;11-10-2019;110
82;16003;17-07-2021;05-08-2021;15-08-2021;111
83;75352;09-10-2021;16-10-2021;13-06-2023;61
84;30130;10-03-2021;25-04-2021;05-05-2021;104
85;68128;21-02-2018;08-03-2018;07-04-2018;118
86;32820;08-01-2019;15-01-2019;14-02-2019;136
87;62773;10-11-2020;26-11-2020;16-12-2020;98
88;86890;14-09-2019;24-10-2019;03-01-2023;62
89;14411;03-06-2018;20-06-2018;30-07-2018;119
90;39061;24-05-2022;08-06-2022;30-09-2022;119
91;40938;18-02-2021;29-03-2021;09-08-2021;101
92;82326;15-01-2019;02-02-2019;21-12-2023;57
93;93123;12-04-2019;22-04-2019;02-05-2019;133
94;32653;03-12-2022;10-12-2022;09-01-2023;68
95;66355;13-12-2018;26-01-2019;15-02-2019;97
96;34458;08-07-2020;21-08-2020;10-09-2020;110
97;14297;12-02-2022;24-02-2022;05-04-2022;117
